reef,site,depth,lat,long
Sherwood Forrest,Site 17,Mesophotic,24.65211,-83.103095
Sherwood Forrest,Site 33,Shallow,24.66019667,-83.07890333
Sherwood Forrest,Site 35/36,Mesophotic,24.64042,-83.10294333
Sherwood Forrest,Site 35/37,Mesophotic,24.640415,-83.10294667
Sherwood Forrest,Site 37,Shallow,24.67518667,-83.068585
Riley's Hump,Site 18,Mesophotic,24.49396,-83.09607833
Riley's Hump,Site 38,Shallow,24.51780833,-83.09790167
Riley's Hump,Site 19,Mesophotic,24.48925667,-83.122695
Riley's Hump,Site 39,Shallow,24.51135833,-83.09516
Riley's Hump,Site 44,Mesophotic,24.48466,-83.110725
Big Coppitt,Site 46,Shallow,24.49297,-81.59892667
Big Coppitt,Site 45,Mesophotic,24.494035,-81.58790833
Big Coppitt,Site 47,Shallow,24.49105167,-81.60602833
The Elbow,Site 51,Mesophotic,25.152185,-80.23162
The Elbow,Site 51,Shallow,25.14415667,-80.252055
The Elbow,Ian's Lumps Site 52,Mesophotic,25.15823333,-80.22064
The Elbow,Site 49,Shallow,25.14404833,-80.25258833
Carysfort,Site 1,Mesophotic,25.217545,-80.19341333
Carysfort,Site 48,Shallow,25.22036,-80.20094333