Pos,Name,Ct SYBR,Amount SYBR,Target SYBR
A1,S001,22.4,-,
A2,S008,21.76,-,
A3,S015,21.34,-,
A4,S022,21.89,-,
A5,S029,20.11,-,
A6,S036,21.71,-,
A7,S043,21.94,-,
A8,S050,21.67,-,
A9,S057,20.55,-,
A10,S064,22.48,-,
A11,S071,22.67,-,
A12,S078,21.5,-,
B1,S002,22.62,-,
B2,S009,21.9,-,
B3,S016,21.14,-,
B4,S023,20.84,-,
B5,S030,18.88,-,
B6,S037,22.73,-,
B7,S044,21.99,-,
B8,S051,21.81,-,
B9,S058,21.24,-,
B10,S065,22.46,-,
B11,S072,22.98,-,
B12,S079,21.35,-,
C1,S003,22.19,-,
C2,S010,21.2,-,
C3,S017,20.52,-,
C4,S024,21.74,-,
C5,S031,20.34,-,
C6,S038,21.25,-,
C7,S045,22.22,-,
C8,S052,22.11,-,
C9,S059,20.5,-,
C10,S066.1,21.73,-,
C11,S073,20.9,-,
C12,S080,21.02,-,
D1,S004,22.18,-,
D2,S011,21.54,-,
D3,S018,20.98,-,
D4,S025,21.42,-,
D5,S032,21.6,-,
D6,S039,21.53,-,
D7,S046,21.19,-,
D8,S053,21.93,-,
D9,S060,21.57,-,
D10,S067,22.49,-,
D11,S074,21.04,-,
D12,S081,21.41,-,
E1,S005,21.82,-,
E2,S012,21.82,-,
E3,S019,21.24,-,
E4,S026,23.31,-,
E5,S033,21.24,-,
E6,S040,21.35,-,
E7,S047,21.69,-,
E8,S054,22.87,-,
E9,S061,21.28,-,
E10,S068,22.59,-,
E11,S075,21.66,-,
E12,S082,20.88,-,
F1,S006,22.2,-,
F2,S013,21.99,-,
F3,S020,21.73,-,
F4,S027,21.86,-,
F5,S034,21.86,-,
F6,S041,22.74,-,
F7,S048,22.7,-,
F8,S055,22.83,-,
F9,S062,21.47,-,
F10,S069,22.41,-,
F11,S076,22.33,-,
F12,S083,21.77,-,
G1,S007,21.97,-,
G2,S014,22.14,-,
G3,S021,22.33,-,
G4,S028,22.11,-,
G5,S035,21.47,-,
G6,S042,22.2,-,
G7,S049,23.12,-,
G8,S056,22.8,-,
G9,S063,20.69,-,
G10,S070,22.11,-,
G11,S077,21.91,-,
G12,S084,21.32,-,
H1,ÐC,28.15,-,
H2,ÐC,28.42,-,
H3,ÐC,28.62,-,
,,,,
Analysis Parameters,,,,
Type of Application,Quantification,,,
Dye(s),SYBR,,,
Inverted Data,OFF,,,
Threshold setting,Noiseband,,,
Threshold level,556,,,
Baseline setting,Automatic,,,
Baseline range (from cycle no. ... to),n/a,,,
Drift Correction,OFF,,,