Location,Site,LatDD,LongDD,Date,SampleID,Time,Depth (ft),Depth zone
St Lucie,Central,27.13167,-80.13403,9/2/14,SLR CM1,,,Shallow
St Lucie,Central,27.13167,-80.13403,10/15/15,SLR CM2,,18,Shallow
St Lucie,Central,27.13167,-80.13403,10/15/15,SLR CM4,,14,Shallow
St Lucie,Central,27.13167,-80.13403,9/1/14,SLR CM6,,,Shallow
St Lucie,Central,27.13167,-80.13403,3/15/16,SLR CM7,,,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 1,,25,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 10,,24,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 11,,22,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 12,,23,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 13,,20,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 14,,19,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 15,,26,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 16,,22,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 17,,26,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 2,,18,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 3,,20,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 4,,20,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 5,,17,Shallow
St Lucie,Central,27.13167,-80.13403,11/4/16,SLR EX 6,,12,Shallow
St Lucie,North,27.14628,-80.13916,7/7/16,SLR EX 7,,,Shallow
St Lucie,,,,8/1/14,SLR EX 8,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM1,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,6/12/13,SLR LM2,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM3,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM4,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM5,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM6,,,Shallow
St Lucie,Ledge,27.12114,-80.12743,10/15/15,SLR LM8,,,Shallow
St Lucie,South,27.12854,-80.12552,10/15/15,SLR SM1,,17,Shallow
St Lucie,South,27.12854,-80.12552,10/15/15,SLR SM2,,,Shallow
St Lucie,South,27.12854,-80.12552,10/4/12,SLR SM3,,,Shallow
St Lucie,South,27.12854,-80.12552,10/15/15,SLR SM4,,21,Shallow
St Lucie,South,27.12854,-80.12552,10/15/15,SLR SM5,,20,Shallow
St Lucie,Ledge,27.12114,-80.12743,2/14/17,SLR EX 9,,21,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX1,11:16,71,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX2,11:17,70,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX3,11:18,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX4,11:21,71,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX5,11:23,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX6,11:23,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX7,11:27,67,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX8,11:10,73,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX9,11:12,73,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX10,11:13,72,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX11,11:14,71,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX12,11:16,72,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX13,11:17,72,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX14,11:18,72,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX15,11:23,74,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX16,12:37,68,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX17,12:39,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX18,12:40,70,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX19,12:42,70,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX20,12:44,70,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX21,12:44,70,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX22,12:45,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX23,12:47,69,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX24,12:42,65,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX25,12:43,64,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX26,12:45,65,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX27,12:45,65,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX28,12:48,63,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX29,12:50,64,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX30,12:50,64,Shallow
Jupiter,JUP,26.94405,-80.02215,1-Dec-16,JP EX31,12:54,64,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jun-15,WP 1,,47,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jun-15,WP 10,,48,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jun-15,WP 11,,44,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 12,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 13,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 14,,56,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 15,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 16,,53,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 17,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 18,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 19,,55,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 2,,47,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 20,,54,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 21,,54,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 22,,52,Shallow
West Palm,FRRP #36,26.691,-80.0182,1-Oct-15,WP 23,,52,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 24,,49,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 25,,49,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 26,,48,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 27,,52,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 28,,52,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 29,,50,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 3,,48,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 30,,52,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 31,,49,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 32,,50,Shallow
West Palm,FRRP #36,26.691,-80.0182,29-Mar-16,WP 33,,50,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 4,,49,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 5,,49,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 6,,46,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 7,,43,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 8,,46,Shallow
West Palm,FRRP #36,26.691,-80.0182,17-Jul-15,WP 9,,47,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,16,11:23,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,34,11:34,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,51,12:42,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,41,12:24,47,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,32,11:28,51,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,17,11:26,45,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,25,11:44,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,53,12:46,49,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,20,11:35,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,44,12:39,49,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,29,12:32,47,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,33,11:31,52,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,43,12:38,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,36,11:21,53,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,23,11:40,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,19,11:31,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,48,11:50,45,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,28,12:30,47,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,31,11:24,50,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,38,11:42,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,45,12:41,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,37,11:39,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,35,11:37,45,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,52,12:44,49,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,22,11:39,47,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,26,11:45,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,39,11:46,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,30,12:33,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,18,11:28,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,42,12:35,48,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,24,11:42,46,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,21,11:37,49,Shallow
Boynton,SEFL-16,26.52355087290,-80.03169120610,7-Jun-18,27,11:47,47,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,19,14:47,27,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,16,14:39,25,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,9,14:33,32,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,6,14:35,28,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,38,14:48,27,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,18,14:43,25,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,3,14:37,27,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,17,14:41,25,Shallow
Pompano,BC1,26.14758333, -80.0961,19-Jun-18,8,14:45,26,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,14,13:11,47,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,96,12:49,47,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,10,12:54,48,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,13,13:08,45,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,12,12:25,48,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,15,13:02,48,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,36,12:31,47,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,40,12:44,49,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,100,12:37,47,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,11,12:20,47,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,98,12:58,48,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,99,12:47,48,Shallow
Pompano,BC2,26.15995,-80.0825,19-Jun-18,37,12:40,48,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,56,10:49,60,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,71,10:32,57,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,74,10:40,59,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,75,10:45,59,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,85,10:56,62,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,72,10:34,58,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,73,10:37,57,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,57,10:52,62,Shallow
Pompano,BC3,26.158633 ,-80.07735,19-Jun-18,58,10:54,62,Shallow